"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","currentProduct","currentProject","historicalMean","predictedConsumptionAveraged"
"39","2","0.333333333333333","1.33333333333333","2","1.33333333333333","0.666666666666667","0.666666666666667","0.333333333333333","0.666666666666667","1","1","0.666666666666667","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1AB","CT974v2","3","1.83333333333333"
"40","0.34375","1.375","2.0625","1.375","0.6875","0.6875","0.34375","0.6875","1","1.03125","0.6875","1.71875","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1AB","CT974v2","2.90909090909091","1.94791666666667"
"41","1.25","1","0.75","1.5","1.25","0.5","0.75","1.75","1","0.75","0.75","0.75","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOG1B-","CT974v2","4","1.04166666666667"
"42","1.02127659574468","0.765957446808511","1.53191489361702","1.27659574468085","0.51063829787234","0.765957446808511","1.78723404255319","1.02127659574468","0.765957446808511","0.765957446808511","0.765957446808511","1.02127659574468","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOG1B-","CT974v2","3.91666666666667","1.06382978723404"
"43","0.8","1.6","1.33333333333333","0.533333333333333","0.8","1.86666666666667","1.06666666666667","0.8","0.8","0.8","1.06666666666667","0.533333333333333","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOG1B-","CT974v2","3.75","1.28888888888889"
"44","1.53191489361702","1.27659574468085","0.51063829787234","0.765957446808511","1.78723404255319","1.02127659574468","0.765957446808511","0.765957446808511","0.765957446808511","1.02127659574468","0.51063829787234","1.27659574468085","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOG1B-","CT974v2","3.91666666666667","1.23404255319149"
"45","1.36363636363636","0.545454545454546","0.818181818181818","1.90909090909091","1.09090909090909","0.818181818181818","0.818181818181818","0.818181818181818","1.09090909090909","0.545454545454546","1.36363636363636","0.818181818181818","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOG1B-","CT974v2","3.66666666666667","1.5"
"46","0.521739130434783","0.782608695652174","1.82608695652174","1.04347826086957","0.782608695652174","0.782608695652174","0.782608695652174","1.04347826086957","0.521739130434783","1.30434782608696","0.782608695652174","1.82608695652174","6","7","8","9","10","11","12","1","2","3","4","5","DDGTBLOG1B-","CT974v2","3.83333333333333","1.39130434782609"
"47","1.51898734177215","0.30379746835443","1.21518987341772","1.21518987341772","1.06329113924051","1.06329113924051","1.21518987341772","1.36708860759494","0.911392405063291","0.759493670886076","0.607594936708861","0.759493670886076","1","2","3","4","5","6","7","8","9","10","11","12","DDGTBLOR1T-","CT974v2","6.58333333333333","0.860759493670886"
"48","0.30379746835443","1.21518987341772","1.21518987341772","1.06329113924051","1.06329113924051","1.21518987341772","1.36708860759494","0.911392405063291","0.759493670886076","0.607594936708861","0.759493670886076","1.51898734177215","2","3","4","5","6","7","8","9","10","11","12","1","DDGTBLOR1T-","CT974v2","6.58333333333333","0.759493670886076"
"49","1.21518987341772","1.21518987341772","1.06329113924051","1.06329113924051","1.21518987341772","1.36708860759494","0.911392405063291","0.759493670886076","0.607594936708861","0.759493670886076","1.51898734177215","0.30379746835443","3","4","5","6","7","8","9","10","11","12","1","2","DDGTBLOR1T-","CT974v2","6.58333333333333","0.936708860759494"
"50","1.23076923076923","1.07692307692308","1.07692307692308","1.23076923076923","1.38461538461538","0.923076923076923","0.769230769230769","0.615384615384615","0.769230769230769","1.53846153846154","0.307692307692308","1.07692307692308","4","5","6","7","8","9","10","11","12","1","2","3","DDGTBLOR1T-","CT974v2","6.5","0.923076923076923"
"51","1.16666666666667","1.16666666666667","1.33333333333333","1.5","1","0.833333333333333","0.666666666666667","0.833333333333333","1.66666666666667","0.333333333333333","1.16666666666667","0.333333333333333","5","6","7","8","9","10","11","12","1","2","3","4","DDGTBLOR1T-","CT974v2","6","1.22222222222222"
